Date,Price,Price1
2016-01,400.3,10.5
2016-02,402.7,12.7
2016-03,407.4,11.41
2016-04,415.7,8.87
2016-05,448.5,14.01
2016-06,528.9,12.5
2016-07,670,11.86
2016-08,621.9,11.63
2016-09,573.9,13.3
2016-10,608.1,10.96
2016-11,698.7,8.62
2016-12,742.5,8
2017-01,963.4,10.71
2017-02,965.5,15.86
2017-03,1189.3,49.72
2017-04,1228,83.51
2017-05,1351.9,218.34
2017-06,2303.3,275.62
2017-07,2480.6,200.81
2017-08,2883.3,387.3
2017-09,4735.1,303.44
2017-10,4360.6,303.69
2017-11,6451.2,432.21
2017-12,9946.8,736.77
2018-01,13850.4,1118.08
2018-02,10265.4,852.49
2018-03,10333.9,393.96
2018-04,6938.2,670.07
2018-05,9245.1,577.87
2018-06,7502.6,452.67
2018-07,6366.8,431.5
2018-08,7729.4,281.94
2018-09,7033.8,232.8
2018-10,6635.2,198.59
2018-11,6365.9,113.77
2018-12,4039.7,131.9
2019-01,3709.4,106.71
2019-02,3437.2,135.47
2019-03,3816.6,141.79
2019-04,4102.3,161.8
2019-05,5320.8,267.99
2019-06,8558.3,292.21
2019-07,10818.6,217.23
2019-08,10082,171.62
2019-09,9594.4,180.35
2019-10,8284.3,182.37
2019-11,9152.6,151.95
2019-12,7546.6,129.21
2020-01,7196.4,179.91
2020-02,9349.1,217.52
2020-03,8543.7,132.86
2020-04,8629,206.22
2020-05,9454.8,231.81
2020-06,9135.4,302.4
2020-07,11333.4,346.51
2020-08,11644.2,433.9
2020-09,10776.1,359.39
2020-10,13797.3,386.42
2020-11,19698.1,615.92
2020-12,28949.4,735.94
2021-01,33108.1,1312.73
2021-02,45164,1418.76
2021-03,58763.7,1917.99
2021-04,57720.3,2772.78
2021-05,37298.6,2708.47
2021-06,35026.9,2273.84
2021-07,41553.7,2532.19
2021-08,47130.4,3430.74
2021-09,43823.3,3000.59
2021-10,61309.6,4287.56
2021-11,56882.9,4628.9
2021-12,46219.5,3677.85
2022-01,38498.6,2686.82
2022-02,43188.2,2922.5
2022-03,45525,3282.35
2022-04,37650,3520.41
2022-05,31793.4,1941.79
2022-06,19926.6,1069.05
2022-07,19262.9,1680
2022-08,20043.9,1555.12
2022-09,19423,1328.73
2022-10,20496.3,1572.89
2022-11,17163.9,1294.41
2022-12,16816.8,1229.7
